_time	srsue_data_id	cfo	distance_km	dl_earfcn	dl_evm	dl_mcs	fec_iters	pathloss	pci	ri	rrc_state	rsrp	rsrq	rssi	rx_brate	rx_errors	rx_pkts	sfo	sinr	speed_kmph	sync_err	ta_us	tx_brate	tx_errors	tx_pkts	ul_buffer	ul_mcs	ul_power
2025-01-29 20:28:03.205	ue1_uhd	-2.03	0	368500	0.07	24.93	1.25	0	1	0	0	2.98	0	0	0.03	0	27	-2	21.28	0	0.01	0	4.29	1	250	380428	4.89	-10.21
2025-01-29 20:28:03.653	ue2_uhd	2.07	0	368500	0.05	26.83	1	0	1	0	0	1.02	0	0	0.03	0	23	2	24.97	0	-0.02	0	3.02	2	250	380257	3.2	-10.19
2025-01-29 20:28:03.685	ue1_uhd	-1.84	0	368500	0.08	24.79	1.36	0	1	0	0	2.92	0	0	0.03	1	28	-1	21.25	0	0.01	0	4.49	1	250	378641	5.11	-10.21
2025-01-29 20:28:04.143	ue2_uhd	1.02	0	368500	0.05	26.88	1.08	0	1	0	0	0.84	0	0	0.03	0	24	1	24.79	0	-0.02	0	3.13	0	250	380324	3.35	-10.17
2025-01-29 20:28:04.165	ue1_uhd	-2.28	0	368500	0.07	24.89	1.25	0	1	0	0	2.96	0	0	0.03	0	27	-2	21.3	0	0.01	0	4.66	3	251	380190	5.3	-10.17
2025-01-29 20:28:04.632	ue2_uhd	-1.91	0	368500	0.05	26.75	1.13	0	1	0	0	0.95	0	0	0.03	0	23	-1	24.8	0	-0.02	0	3.08	3	250	380238	3.27	-10.31
2025-01-29 20:28:04.646	ue1_uhd	-2.86	0	368500	0.07	24.82	1.46	0	1	0	0	3.03	0	0	0.03	0	27	-2	21.36	0	0.01	0	4.33	5	252	379582	4.89	-10.23
2025-01-29 20:28:05.121	ue2_uhd	1.79	0	368500	0.05	26.8	1.08	0	1	0	0	0.95	0	0	0.03	0	24	1	24.8	0	-0.02	0	3.17	2	249	380157	3.44	-10.24
2025-01-29 20:28:05.126	ue1_uhd	1.34	0	368500	0.07	24.78	1.26	0	1	0	0	3.08	0	0	0.03	0	26	1	21.43	0	0.01	0	4.34	1	249	380840	4.96	-10.17
2025-01-29 20:28:05.610	ue2_uhd	1.51	0	368500	0.05	26.79	1.17	0	1	0	0	0.99	0	0	0.03	0	23	1	24.82	0	-0.02	0	3.16	4	251	379942	3.37	-10.23
2025-01-29 20:28:05.615	ue1_uhd	-1.13	0	368500	0.07	24.86	1.43	0	1	0	0	3.09	0	0	0.03	0	27	-1	21.4	0	0.01	0	4.29	3	250	379929	4.88	-10.19
2025-01-29 20:28:06.095	ue1_uhd	3.21	0	368500	0.07	25.68	1.68	0	1	0	0	3.07	0	0	0.03	0	27	3	21.38	0	0.01	0	4.4	1	250	379604	5.02	-10.21
2025-01-29 20:28:06.100	ue2_uhd	-0.35	0	368500	0.05	26.79	1.08	0	1	0	0	1	0	0	0.03	0	24	0	24.73	0	-0.02	0	3.12	2	249	380871	3.35	-10.25
2025-01-29 20:28:06.574	ue1_uhd	2.24	0	368500	0.07	25	1.33	0	1	0	0	3.09	0	0	0.03	1	27	2	21.32	0	0.01	0	4.4	4	251	380571	5	-10.24
2025-01-29 20:28:06.590	ue2_uhd	-0.54	0	368500	0.05	26.72	1.04	0	1	0	0	0.88	0	0	0.03	0	23	0	24.99	0	-0.02	0	3.14	2	250	380520	3.39	-10.21
2025-01-29 20:28:07.054	ue1_uhd	1.01	0	368500	0.07	24.82	1.25	0	1	0	0	2.91	0	0	0.03	0	27	1	21.34	0	0.01	0	4.25	3	249	380788	4.85	-10.19
2025-01-29 20:28:07.079	ue2_uhd	2.06	0	368500	0.05	26.84	1.2	0	1	0	0	0.98	0	0	0.03	0	24	2	25	0	-0.02	0	3.22	1	249	379700	3.5	-10.2
2025-01-29 20:28:07.535	ue1_uhd	-0.92	0	368500	0.08	24.81	1.26	0	1	0	0	2.96	0	0	0.03	0	26	0	21.15	0	0.01	0	4.26	2	250	380664	4.84	-10.23
2025-01-29 20:28:07.569	ue2_uhd	-0.83	0	368500	0.05	26.8	1.12	0	1	0	0	0.96	0	0	0.03	0	24	0	24.95	0	-0.02	0	3.21	2	251	380439	3.44	-10.27
2025-01-29 20:28:08.015	ue1_uhd	0.46	0	368500	0.07	25.3	1.67	0	1	0	0	3	0	0	0.03	0	26	0	21.36	0	0.01	0	4.19	3	250	380128	4.77	-10.29
2025-01-29 20:28:08.058	ue2_uhd	-0.15	0	368500	0.05	26.92	1.04	0	1	0	0	1.02	0	0	0.03	0	24	0	24.91	0	-0.02	0	3.25	2	251	380149	3.5	-10.24
2025-01-29 20:28:08.495	ue1_uhd	-4	0	368500	0.07	25.78	2.07	0	1	0	0	2.65	0	0	0.03	0	26	-3	20.86	0	0.01	0	4.19	4	249	379927	4.77	-10.29
2025-01-29 20:28:08.547	ue2_uhd	0.53	0	368500	0.05	26.75	1.13	0	1	0	0	1.01	0	0	0.03	0	23	0	24.72	0	-0.02	0	3.28	3	250	380141	3.57	-10.23
2025-01-29 20:28:08.975	ue1_uhd	0.71	0	368500	0.07	25.89	1.81	0	1	0	0	3.09	0	0	0.03	0	26	0	21.47	0	0.01	0	4.1	2	251	379925	4.64	-10.2
2025-01-29 20:28:09.035	ue2_uhd	-0.49	0	368500	0.05	26.84	1.08	0	1	0	0	0.89	0	0	0.03	0	24	0	24.8	0	-0.02	0	3.36	2	249	380404	3.7	-10.26
2025-01-29 20:28:09.455	ue1_uhd	0.44	0	368500	0.07	25.86	1.93	0	1	0	0	3.04	0	0	0.03	0	27	0	21.33	0	0.01	0	4.2	0	248	379564	4.82	-10.21
2025-01-29 20:28:09.524	ue2_uhd	0.38	0	368500	0.05	26.81	1.15	0	1	0	0	0.89	0	0	0.03	0	25	0	24.86	0	-0.02	0	3.39	1	249	379086	3.75	-10.21
2025-01-29 20:28:09.935	ue1_uhd	-0.83	0	368500	0.07	25.85	2.26	0	1	0	0	2.96	0	0	0.03	0	26	0	21.27	0	0.01	0	4.29	4	250	380251	4.87	-10.22
2025-01-29 20:28:10.014	ue2_uhd	0.35	0	368500	0.05	26.84	1.08	0	1	0	0	0.94	0	0	0.03	0	24	0	24.9	0	-0.02	0	3.43	4	250	380001	3.77	-10.22
2025-01-29 20:28:10.415	ue1_uhd	-3.03	0	368500	0.07	25.74	2.07	0	1	0	0	2.93	0	0	0.03	0	26	-3	21.15	0	0.01	0	4.25	3	250	380661	4.83	-10.21
2025-01-29 20:28:10.503	ue2_uhd	-1.12	0	368500	0.05	26.76	1.08	0	1	0	0	0.95	0	0	0.03	0	24	-1	24.75	0	-0.02	0	3.31	3	248	380629	3.63	-10.26
2025-01-29 20:28:10.895	ue1_uhd	-2.02	0	368500	0.08	25.82	2.25	0	1	0	0	2.77	0	0	0.03	0	27	-2	21.13	0	0.01	0	4.24	3	250	379664	4.84	-10.24
2025-01-29 20:28:10.992	ue2_uhd	-0.48	0	368500	0.05	26.75	1.04	0	1	0	0	0.98	0	0	0.03	0	23	0	24.71	0	-0.02	0	3.38	6	253	379559	3.67	-10.25
2025-01-29 20:28:11.376	ue1_uhd	-0.88	0	368500	0.08	25.93	2.22	0	1	0	0	2.89	0	0	0.03	1	27	0	20.98	0	0.01	0	4.24	3	251	380506	4.79	-10.17
2025-01-29 20:28:11.481	ue2_uhd	0.72	0	368500	0.05	26.88	1.08	0	1	0	0	0.84	0	0	0.03	0	24	0	24.86	0	-0.02	0	3.18	1	249	379699	3.44	-10.24
2025-01-29 20:28:11.856	ue1_uhd	0.42	0	368500	0.08	25.07	1.36	0	1	0	0	2.92	0	0	0.03	1	28	0	21.07	0	0.01	0	4.19	1	250	380634	4.76	-10.17
2025-01-29 20:28:11.970	ue2_uhd	0.77	0	368500	0.05	26.88	1.12	0	1	0	0	0.98	0	0	0.03	0	24	0	24.76	0	-0.02	0	3.35	0	250	380396	3.67	-10.22
2025-01-29 20:28:12.336	ue1_uhd	0.99	0	368500	0.08	25.3	1.78	0	1	0	0	2.95	0	0	0.03	0	26	0	20.92	0	0.01	0	4.24	3	250	379686	4.82	-10.24
2025-01-29 20:28:12.459	ue2_uhd	-1.63	0	368500	0.05	26.69	1.04	0	1	0	0	0.84	0	0	0.03	0	25	-1	24.83	0	-0.02	0	3.46	1	250	380811	3.83	-10.14
2025-01-29 20:28:12.816	ue1_uhd	-2.83	0	368500	0.08	25.89	2.26	0	1	0	0	2.87	0	0	0.03	1	27	-2	21.06	0	0.01	0	4.28	2	249	379653	4.9	-10.23
2025-01-29 20:28:12.949	ue2_uhd	-0.93	0	368500	0.05	26.56	1.12	0	1	0	0	0.94	0	0	0.03	0	24	0	24.84	0	-0.02	0	3.49	0	250	380524	3.88	-10.18
2025-01-29 20:28:13.296	ue1_uhd	0.36	0	368500	0.07	24.86	1.21	0	1	0	0	2.96	0	0	0.03	0	27	0	21.26	0	0.01	0	4.28	1	250	380033	4.86	-10.27
2025-01-29 20:28:13.438	ue2_uhd	0.57	0	368500	0.05	26.96	1.15	0	1	0	0	0.84	0	0	0.03	0	25	0	25	0	-0.02	0	3.51	1	248	378544	3.93	-10.22
2025-01-29 20:28:13.777	ue1_uhd	-1.78	0	368500	0.07	24.93	1.19	0	1	0	0	2.92	0	0	0.03	0	26	-1	21.09	0	0.01	0	4.32	5	251	380233	4.9	-10.22
2025-01-29 20:28:13.926	ue2_uhd	-0.06	0	368500	0.05	26.88	1.12	0	1	0	0	0.97	0	0	0.03	0	24	0	24.89	0	-0.02	0	3.53	2	249	380127	3.94	-10.2
2025-01-29 20:28:14.258	ue1_uhd	0.14	0	368500	0.08	25.04	1.54	0	1	0	0	2.9	0	0	0.03	0	27	0	21.19	0	0.01	0	4.2	2	250	379991	4.77	-10.18
2025-01-29 20:28:14.415	ue2_uhd	-0.35	0	368500	0.05	27	1.04	0	1	0	0	0.84	0	0	0.03	0	25	0	24.9	0	-0.02	0	3.58	2	251	379614	3.97	-10.22
2025-01-29 20:28:14.739	ue1_uhd	2.48	0	368500	0.07	25.33	1.74	0	1	0	0	2.95	0	0	0.03	1	27	2	21.25	0	0.01	0	4.18	1	248	379419	4.79	-10.21
2025-01-29 20:28:14.904	ue2_uhd	-0.67	0	368500	0.05	26.92	1.08	0	1	0	0	0.96	0	0	0.03	0	25	0	24.88	0	-0.02	0	3.55	3	250	380597	3.96	-10.25
2025-01-29 20:28:15.219	ue1_uhd	0.65	0	368500	0.07	24.93	1.29	0	1	0	0	2.92	0	0	0.03	0	27	0	20.99	0	0.01	0	4.43	2	250	379903	5.06	-10.24
2025-01-29 20:28:15.393	ue2_uhd	1.67	0	368500	0.05	26.84	1.04	0	1	0	0	0.98	0	0	0.03	0	24	1	24.9	0	-0.02	0	3.56	2	249	380716	3.96	-10.2
2025-01-29 20:28:15.699	ue1_uhd	-2.71	0	368500	0.08	24.82	1.43	0	1	0	0	2.93	0	0	0.03	0	27	-2	21.04	0	0.01	0	4.54	1	250	379918	5.19	-10.22
2025-01-29 20:28:15.882	ue2_uhd	-0.72	0	368500	0.05	27	1.04	0	1	0	0	0.86	0	0	0.03	0	25	0	24.95	0	-0.02	0	3.55	2	250	380353	3.97	-10.19
2025-01-29 20:28:16.179	ue1_uhd	-0.76	0	368500	0.08	24.89	1.5	0	1	0	0	2.95	0	0	0.03	0	27	0	21.05	0	0.01	0	4.49	3	251	379504	5.1	-10.25
2025-01-29 20:28:16.371	ue2_uhd	1.25	0	368500	0.05	26.8	1	0	1	0	0	0.93	0	0	0.03	0	24	1	24.91	0	-0.02	0	3.56	5	251	379820	3.95	-10.3
2025-01-29 20:28:16.659	ue1_uhd	-0.33	0	368500	0.07	25.46	1.82	0	1	0	0	2.9	0	0	0.03	1	28	0	21.2	0	0.01	0	4.44	4	251	379731	5.05	-10.25
2025-01-29 20:28:16.860	ue2_uhd	1.65	0	368500	0.05	27	1.15	0	1	0	0	0.95	0	0	0.03	0	25	1	24.85	0	-0.02	0	3.52	2	250	380403	3.91	-10.21
2025-01-29 20:28:17.139	ue1_uhd	-0.81	0	368500	0.07	24.89	1.15	0	1	0	0	2.96	0	0	0.03	0	26	0	21.05	0	0.01	0	4.28	3	249	379724	4.89	-10.24
2025-01-29 20:28:17.349	ue2_uhd	0.62	0	368500	0.05	26.88	1.16	0	1	0	0	0.98	0	0	0.03	0	24	0	24.75	0	-0.02	0	3.5	3	250	380433	3.88	-10.28
2025-01-29 20:28:17.602	ue1_uhd	-1.42	0	368500	0.08	24.89	1.37	0	1	0	0	2.95	0	0	0.03	0	26	-1	20.97	0	0.01	0	4.21	3	251	380631	4.76	-10.26
2025-01-29 20:28:17.838	ue2_uhd	-0.69	0	368500	0.05	26.68	1.12	0	1	0	0	0.98	0	0	0.03	0	24	0	24.72	0	-0.02	0	3.49	5	251	379367	3.85	-10.26
2025-01-29 20:28:18.072	ue1_uhd	-1.37	0	368500	0.08	24.78	1.3	0	1	0	0	2.86	0	0	0.03	0	26	-1	21.01	0	0.01	0	4.13	5	251	380204	4.68	-10.22
2025-01-29 20:28:18.327	ue2_uhd	0	0	368500	0.05	27	1.08	0	1	0	0	0.83	0	0	0.03	0	25	0	24.79	0	-0.02	0	3.45	1	249	380499	3.83	-10.22
2025-01-29 20:28:18.558	ue1_uhd	-1.96	0	368500	0.07	25.37	1.59	0	1	0	0	2.92	0	0	0.03	1	27	-1	21.03	0	0.01	0	4.03	2	249	380297	4.57	-10.2
2025-01-29 20:28:18.815	ue2_uhd	2.72	0	368500	0.05	26.68	1.04	0	1	0	0	0.97	0	0	0.03	0	24	2	24.79	0	-0.02	0	3.54	4	252	378676	3.9	-10.15
2025-01-29 20:28:19.038	ue1_uhd	2.41	0	368500	0.08	24.88	1.42	0	1	0	0	2.97	0	0	0.03	0	25	2	20.97	0	0.01	0	4.02	3	250	380382	4.55	-10.23
2025-01-29 20:28:19.305	ue2_uhd	-1.19	0	368500	0.05	26.96	1.12	0	1	0	0	0.83	0	0	0.03	0	24	-1	24.91	0	-0.02	0	3.42	5	250	380719	3.76	-10.22
2025-01-29 20:28:19.519	ue1_uhd	-0.69	0	368500	0.08	24.85	1.33	0	1	0	0	2.85	0	0	0.03	0	26	0	21.05	0	0.01	0	3.98	1	249	379958	4.52	-10.29
2025-01-29 20:28:19.793	ue2_uhd	-0.75	0	368500	0.05	26.96	1.12	0	1	0	0	0.95	0	0	0.03	0	24	0	24.72	0	-0.02	0	3.4	2	250	379826	3.74	-10.26
2025-01-29 20:28:19.999	ue1_uhd	-0.44	0	368500	0.07	24.82	1.25	0	1	0	0	2.81	0	0	0.03	0	27	0	21.04	0	0.01	0	4.27	1	250	380699	4.86	-10.17
2025-01-29 20:28:20.282	ue2_uhd	-0.04	0	368500	0.05	27	1.08	0	1	0	0	0.86	0	0	0.03	0	25	0	24.93	0	-0.02	0	3.42	2	250	380043	3.76	-10.15
2025-01-29 20:28:20.479	ue1_uhd	-1.03	0	368500	0.07	25	1.33	0	1	0	0	2.95	0	0	0.03	0	26	-1	21.1	0	0.01	0	4.31	4	251	379600	4.9	-10.19
2025-01-29 20:28:20.771	ue2_uhd	0.29	0	368500	0.05	26.88	1.08	0	1	0	0	0.99	0	0	0.03	0	24	0	24.81	0	-0.02	0	3.41	3	249	380042	3.78	-10.25
2025-01-29 20:28:20.959	ue1_uhd	-0.26	0	368500	0.08	25.74	1.96	0	1	0	0	2.81	0	0	0.03	1	27	0	21.15	0	0.01	0	4.14	2	250	379620	4.7	-10.22
2025-01-29 20:28:21.260	ue2_uhd	1.15	0	368500	0.05	26.76	1.24	0	1	0	0	0.99	0	0	0.03	0	24	1	24.76	0	-0.02	0	3.45	1	249	379800	3.83	-10.21
2025-01-29 20:28:21.440	ue1_uhd	1.47	0	368500	0.08	24.82	1.36	0	1	0	0	2.81	0	0	0.03	0	27	1	21.11	0	0.01	0	4.32	3	251	380185	4.89	-10.24
2025-01-29 20:28:21.749	ue2_uhd	1.39	0	368500	0.05	26.88	1.12	0	1	0	0	0.99	0	0	0.03	0	24	1	24.79	0	-0.02	0	3.42	4	251	379688	3.74	-10.26
2025-01-29 20:28:21.920	ue1_uhd	1.59	0	368500	0.08	24.81	1.48	0	1	0	0	2.94	0	0	0.03	0	26	1	20.94	0	0.01	0	4.18	2	250	379824	4.75	-10.21
2025-01-29 20:28:22.238	ue2_uhd	-0.91	0	368500	0.05	26.96	1.15	0	1	0	0	0.86	0	0	0.03	0	25	0	24.81	0	-0.02	0	3.38	3	251	380821	3.69	-10.24
2025-01-29 20:28:22.400	ue1_uhd	-1.27	0	368500	0.08	24.93	1.36	0	1	0	0	2.94	0	0	0.03	0	27	-1	21.03	0	0.01	0	4.16	1	249	380223	4.74	-10.3
2025-01-29 20:28:22.728	ue2_uhd	1.03	0	368500	0.05	27	1.24	0	1	0	0	0.95	0	0	0.03	0	24	1	24.79	0	-0.02	0	3.43	1	250	378895	3.78	-10.23
2025-01-29 20:28:22.881	ue1_uhd	1.77	0	368500	0.07	25.48	1.81	0	1	0	0	2.99	0	0	0.03	0	26	1	21.06	0	0.01	0	4.33	3	250	379920	4.93	-10.21
2025-01-29 20:28:23.217	ue2_uhd	1.24	0	368500	0.05	26.84	1.16	0	1	0	0	0.94	0	0	0.03	0	24	1	24.73	0	-0.02	0	3.4	2	248	379572	3.78	-10.21
2025-01-29 20:28:23.361	ue1_uhd	3.06	0	368500	0.08	25.79	1.96	0	1	0	0	2.93	0	0	0.03	1	28	3	21.24	0	0.01	0	4.35	3	251	380543	4.94	-10.23
2025-01-29 20:28:23.707	ue2_uhd	-2.39	0	368500	0.05	26.96	1.08	0	1	0	0	0.95	0	0	0.03	0	24	-2	24.71	0	-0.02	0	3.46	3	251	380158	3.81	-10.25
2025-01-29 20:28:23.842	ue1_uhd	-1.09	0	368500	0.07	24.74	1.3	0	1	0	0	3	0	0	0.03	0	26	-1	21.11	0	0.01	0	4.29	3	251	379774	4.87	-10.21
2025-01-29 20:28:24.196	ue2_uhd	1.39	0	368500	0.05	26.6	1.16	0	1	0	0	0.94	0	0	0.03	0	24	1	24.66	0	-0.02	0	3.39	4	251	380184	3.7	-10.25
2025-01-29 20:28:24.322	ue1_uhd	1.9	0	368500	0.07	24.89	1.29	0	1	0	0	2.96	0	0	0.03	0	27	1	21.14	0	0.01	0	4.31	1	249	380746	4.93	-10.18
2025-01-29 20:28:24.685	ue2_uhd	-0.73	0	368500	0.05	26.84	1.08	0	1	0	0	0.88	0	0	0.03	0	24	0	24.83	0	-0.02	0	3.37	3	251	380459	3.68	-10.25
2025-01-29 20:28:24.802	ue1_uhd	1.81	0	368500	0.08	25.11	1.63	0	1	0	0	2.94	0	0	0.03	0	26	1	21.03	0	0.01	0	4.26	3	248	380798	4.89	-10.21
2025-01-29 20:28:25.175	ue2_uhd	-1.44	0	368500	0.05	27	1.12	0	1	0	0	0.87	0	0	0.03	0	25	-1	24.9	0	-0.02	0	3.43	1	250	379844	3.78	-10.15
2025-01-29 20:28:25.291	ue1_uhd	-0.44	0	368500	0.07	25.33	1.7	0	1	0	0	2.94	0	0	0.03	1	27	0	21.16	0	0.01	0	4.18	4	249	380262	4.77	-10.27
2025-01-29 20:28:25.664	ue2_uhd	0.64	0	368500	0.05	26.88	1.08	0	1	0	0	0.98	0	0	0.03	0	24	0	24.9	0	-0.02	0	3.4	1	248	379587	3.78	-10.23
2025-01-29 20:28:25.771	ue1_uhd	-2.64	0	368500	0.07	24.81	1.41	0	1	0	0	2.98	0	0	0.03	0	26	-2	21.11	0	0.01	0	4.08	2	251	379480	4.6	-10.23
2025-01-29 20:28:26.153	ue2_uhd	0.87	0	368500	0.05	26.77	1.04	0	1	0	0	0.97	0	0	0.03	0	25	0	25.06	0	-0.02	0	3.47	1	249	379601	3.86	-10.2
2025-01-29 20:28:26.252	ue1_uhd	0.52	0	368500	0.07	24.78	1.44	0	1	0	0	2.97	0	0	0.03	0	26	0	21.05	0	0.01	0	4.26	3	250	379480	4.84	-10.19
2025-01-29 20:28:26.642	ue2_uhd	2.51	0	368500	0.05	26.96	1	0	1	0	0	0.99	0	0	0.03	0	24	2	24.93	0	-0.02	0	3.68	6	253	380734	4.02	-10.21
2025-01-29 20:28:26.732	ue1_uhd	-0.74	0	368500	0.07	24.71	1.07	0	1	0	0	2.82	0	0	0.03	0	27	0	21.19	0	0.01	0	4.22	3	250	380819	4.81	-10.19
2025-01-29 20:28:27.114	ue2_uhd	1.11	0	368500	0.05	26.84	1.08	0	1	0	0	0.87	0	0	0.03	0	24	1	24.88	0	-0.02	0	3.35	2	249	380796	3.69	-10.25
2025-01-29 20:28:27.212	ue1_uhd	-1.6	0	368500	0.07	25.5	1.65	0	1	0	0	2.94	0	0	0.03	0	25	-1	21.1	0	0.01	0	4.04	2	249	379424	4.6	-10.19
2025-01-29 20:28:27.586	ue2_uhd	-0.57	0	368500	0.05	26.88	1.08	0	1	0	0	0.86	0	0	0.03	0	24	0	24.89	0	-0.02	0	3.3	4	249	379816	3.6	-10.31
2025-01-29 20:28:27.692	ue1_uhd	0.54	0	368500	0.07	24.89	1.43	0	1	0	0	2.77	0	0	0.03	1	28	0	21.3	0	0.01	0	4.21	1	250	379447	4.79	-10.16
2025-01-29 20:28:28.075	ue2_uhd	-0.54	0	368500	0.05	26.88	1.04	0	1	0	0	0.87	0	0	0.03	0	24	0	24.8	0	-0.02	0	3.32	1	250	379921	3.63	-10.23
2025-01-29 20:28:28.172	ue1_uhd	3.04	0	368500	0.07	24.93	1.15	0	1	0	0	2.91	0	0	0.03	0	26	3	21.14	0	0.01	0	4.22	4	251	379946	4.79	-10.24
2025-01-29 20:28:28.559	ue2_uhd	0.34	0	368500	0.05	26.68	1.2	0	1	0	0	0.88	0	0	0.03	0	24	0	24.88	0	-0.02	0	3.37	4	251	380663	3.69	-10.27
2025-01-29 20:28:28.653	ue1_uhd	0.88	0	368500	0.08	24.85	1.37	0	1	0	0	2.88	0	0	0.03	0	26	0	21.08	0	0.01	0	4.09	2	250	380574	4.64	-10.2
2025-01-29 20:28:29.049	ue2_uhd	1.48	0	368500	0.05	26.8	1.08	0	1	0	0	0.87	0	0	0.03	0	24	1	24.99	0	-0.02	0	3.34	2	251	379392	3.63	-10.2
2025-01-29 20:28:29.133	ue1_uhd	0.34	0	368500	0.08	24.89	1.41	0	1	0	0	2.83	0	0	0.03	0	26	0	21.04	0	0.01	0	4.14	3	249	380304	4.72	-10.17
2025-01-29 20:28:29.538	ue2_uhd	0.01	0	368500	0.05	26.92	1.16	0	1	0	0	0.87	0	0	0.03	0	24	0	24.86	0	-0.02	0	3.34	1	249	380065	3.67	-10.21
2025-01-29 20:28:29.613	ue1_uhd	1.03	0	368500	0.07	25.85	2	0	1	0	0	2.83	0	0	0.03	0	26	1	21.01	0	0.01	0	4.08	2	250	379095	4.63	-10.23
2025-01-29 20:28:30.027	ue2_uhd	0.31	0	368500	0.05	26.85	1	0	1	0	0	0.75	0	0	0.03	0	25	0	25.08	0	-0.02	0	3.4	2	250	380689	3.74	-10.27
2025-01-29 20:28:30.094	ue1_uhd	1.15	0	368500	0.08	25.86	2.64	0	1	0	0	2.81	0	0	0.03	0	27	1	21.1	0	0.01	0	4.29	2	251	379600	4.87	-10.16
2025-01-29 20:28:30.516	ue2_uhd	0.22	0	368500	0.05	26.76	1.08	0	1	0	0	1.24	0	0	0.03	0	24	0	24.82	0	-0.02	0	3.45	2	250	379804	3.81	-10.23
2025-01-29 20:28:30.574	ue1_uhd	3.12	0	368500	0.08	24.89	1.26	0	1	0	0	2.8	0	0	0.03	1	27	3	21.13	0	0.01	0	4.29	3	250	379794	4.88	-10.17
2025-01-29 20:28:31.005	ue2_uhd	0.97	0	368500	0.05	26.73	1.12	0	1	0	0	1.21	0	0	0.03	0	25	0	24.72	0	-0.02	0	3.46	1	249	380250	3.85	-10.19
2025-01-29 20:28:31.055	ue1_uhd	0.6	0	368500	0.07	24.85	1.19	0	1	0	0	2.83	0	0	0.03	0	26	0	20.94	0	0.01	0	4.05	4	251	379522	4.57	-10.28
2025-01-29 20:28:31.495	ue2_uhd	1.18	0	368500	0.05	26.76	1.12	0	1	0	0	1.25	0	0	0.03	0	24	1	24.73	0	-0.02	0	3.47	1	249	380129	3.86	-10.21
2025-01-29 20:28:31.535	ue1_uhd	0.05	0	368500	0.07	25.41	1.81	0	1	0	0	2.81	0	0	0.03	0	26	0	21.01	0	0.01	0	4.06	1	248	380032	4.65	-10.16
