_time,_value,_field,srsue_data_id
2025-01-29T20:28:03.205411367Z,21.28,sinr,ue1_uhd
2025-01-29T20:28:03.685727367Z,21.25,sinr,ue1_uhd
2025-01-29T20:28:04.165713367Z,21.3,sinr,ue1_uhd
2025-01-29T20:28:04.646020367Z,21.36,sinr,ue1_uhd
2025-01-29T20:28:05.126639367Z,21.43,sinr,ue1_uhd
2025-01-29T20:28:05.615180367Z,21.4,sinr,ue1_uhd
2025-01-29T20:28:06.095591367Z,21.38,sinr,ue1_uhd
2025-01-29T20:28:06.574712367Z,21.32,sinr,ue1_uhd
2025-01-29T20:28:07.054876367Z,21.34,sinr,ue1_uhd
2025-01-29T20:28:07.535065367Z,21.15,sinr,ue1_uhd
2025-01-29T20:28:08.015593367Z,21.36,sinr,ue1_uhd
2025-01-29T20:28:08.495760367Z,20.86,sinr,ue1_uhd
2025-01-29T20:28:08.975419367Z,21.47,sinr,ue1_uhd
2025-01-29T20:28:09.455092367Z,21.33,sinr,ue1_uhd
2025-01-29T20:28:09.935505367Z,21.27,sinr,ue1_uhd
2025-01-29T20:28:10.415903367Z,21.15,sinr,ue1_uhd
2025-01-29T20:28:10.895948367Z,21.13,sinr,ue1_uhd
2025-01-29T20:28:11.376272367Z,20.98,sinr,ue1_uhd
2025-01-29T20:28:11.856339367Z,21.07,sinr,ue1_uhd
2025-01-29T20:28:12.336659367Z,20.92,sinr,ue1_uhd
2025-01-29T20:28:12.816498367Z,21.06,sinr,ue1_uhd
2025-01-29T20:28:13.296986367Z,21.26,sinr,ue1_uhd
2025-01-29T20:28:13.777882367Z,21.09,sinr,ue1_uhd
2025-01-29T20:28:14.258819367Z,21.19,sinr,ue1_uhd
2025-01-29T20:28:14.739808367Z,21.25,sinr,ue1_uhd
2025-01-29T20:28:15.219679367Z,20.99,sinr,ue1_uhd
2025-01-29T20:28:15.699747367Z,21.04,sinr,ue1_uhd
2025-01-29T20:28:16.179651367Z,21.05,sinr,ue1_uhd
2025-01-29T20:28:16.659839367Z,21.2,sinr,ue1_uhd
2025-01-29T20:28:17.139856367Z,21.05,sinr,ue1_uhd
2025-01-29T20:28:17.602890367Z,20.97,sinr,ue1_uhd
2025-01-29T20:28:18.072553367Z,21.01,sinr,ue1_uhd
2025-01-29T20:28:18.558274367Z,21.03,sinr,ue1_uhd
2025-01-29T20:28:19.038923367Z,20.97,sinr,ue1_uhd
2025-01-29T20:28:19.519500367Z,21.05,sinr,ue1_uhd
2025-01-29T20:28:19.999669367Z,21.04,sinr,ue1_uhd
2025-01-29T20:28:20.479715367Z,21.1,sinr,ue1_uhd
2025-01-29T20:28:20.959693367Z,21.15,sinr,ue1_uhd
2025-01-29T20:28:21.440235367Z,21.11,sinr,ue1_uhd
2025-01-29T20:28:21.920147367Z,20.94,sinr,ue1_uhd
2025-01-29T20:28:22.400733367Z,21.03,sinr,ue1_uhd
2025-01-29T20:28:22.881401367Z,21.06,sinr,ue1_uhd
2025-01-29T20:28:23.361919367Z,21.24,sinr,ue1_uhd
2025-01-29T20:28:23.842076367Z,21.11,sinr,ue1_uhd
2025-01-29T20:28:24.322665367Z,21.14,sinr,ue1_uhd
2025-01-29T20:28:24.802598367Z,21.03,sinr,ue1_uhd
2025-01-29T20:28:25.291867367Z,21.16,sinr,ue1_uhd
2025-01-29T20:28:25.771962367Z,21.11,sinr,ue1_uhd
2025-01-29T20:28:26.252069367Z,21.05,sinr,ue1_uhd
2025-01-29T20:28:26.732606367Z,21.19,sinr,ue1_uhd
2025-01-29T20:28:27.212741367Z,21.1,sinr,ue1_uhd
2025-01-29T20:28:27.692811367Z,21.3,sinr,ue1_uhd
2025-01-29T20:28:28.172876367Z,21.14,sinr,ue1_uhd
2025-01-29T20:28:28.653486367Z,21.08,sinr,ue1_uhd
2025-01-29T20:28:29.133641367Z,21.04,sinr,ue1_uhd
2025-01-29T20:28:29.613678367Z,21.01,sinr,ue1_uhd
2025-01-29T20:28:30.094548367Z,21.1,sinr,ue1_uhd
2025-01-29T20:28:30.574494367Z,21.13,sinr,ue1_uhd
2025-01-29T20:28:31.055206367Z,20.94,sinr,ue1_uhd
2025-01-29T20:28:31.535255367Z,21.01,sinr,ue1_uhd
2025-01-29T20:28:32.015756367Z,20.98,sinr,ue1_uhd
2025-01-29T20:28:32.495896367Z,21.05,sinr,ue1_uhd
2025-01-29T20:28:32.976608367Z,21.06,sinr,ue1_uhd
2025-01-29T20:28:33.457264367Z,21.14,sinr,ue1_uhd
2025-01-29T20:28:33.937270367Z,21,sinr,ue1_uhd
2025-01-29T20:28:34.417930367Z,21.11,sinr,ue1_uhd
2025-01-29T20:28:34.898603367Z,21.07,sinr,ue1_uhd
2025-01-29T20:28:35.378436367Z,21.04,sinr,ue1_uhd
2025-01-29T20:28:35.858910367Z,21.14,sinr,ue1_uhd
2025-01-29T20:28:36.339459367Z,21.06,sinr,ue1_uhd
2025-01-29T20:28:36.820079367Z,20.95,sinr,ue1_uhd
2025-01-29T20:28:37.300852367Z,20.96,sinr,ue1_uhd
2025-01-29T20:28:37.780047367Z,21.08,sinr,ue1_uhd
2025-01-29T20:28:38.260168367Z,21.02,sinr,ue1_uhd
